Los Angeles - Hollywood,4513,6612,46,67
Los Angeles - Hollywood Hills,1200,4077,14,48
Los Angeles - Hyde Park,3159,11068,43,151
Los Angeles - Jefferson Park,1015,12573,7,87
Los Angeles - Koreatown,4710,9111,71,137
Los Angeles - Lafayette Square,475,10419,5,110
Los Angeles - Lake Balboa,4599,10897,42,100
Los Angeles - Lakeview Terrace,2034,15488,30,228
Los Angeles - Leimert Park,1326,8704,14,92
Los Angeles - Lincoln Heights,4534,13909,122,374
Los Angeles - Little Armenia,1003,12498,68,847
Los Angeles - Little Bangladesh,2342,8263,18,64
Los Angeles - Little Tokyo,347,11076,7,223
Los Angeles - Longwood,500,11617,5,116
Los Angeles - Los Feliz,878,4063,14,65
Los Angeles - Manchester Square,789,9243,7,82
Los Angeles - Mandeville Canyon,109,3489,0,0
Los Angeles - Mar Vista,1659,3906,24,57
Los Angeles - Marina Peninsula,120,2752,1,23
Los Angeles - Melrose,6881,8856,152,196
Los Angeles - Mid-city,1005,6687,30,200
Los Angeles - Miracle Mile,760,4226,9,50
Los Angeles - Mission Hills,3695,15317,93,386
Los Angeles - Mt. Washington,2536,10503,46,191
Los Angeles - North Hills,8006,13002,95,154
Los Angeles - North Hollywood,17556,11594,213,141
Los Angeles - Northridge,6309,9039,99,142
Los Angeles - Pacific Palisades,617,2898,14,66
Los Angeles - Pacoima,15098,19613,145,188
Los Angeles - Palisades Highlands,119,3094,1,26
Los Angeles - Palms,2184,4978,39,89
Los Angeles - Panorama City,11717,15571,176,234
Los Angeles - Park La Brea,483,3557,1,7
Los Angeles - Pico-Union,6240,14913,148,354
Los Angeles - Playa Del Rey,87,2722,0,0
Los Angeles - Playa Vista,489,4467,3,27
Los Angeles - Porter Ranch,2047,5752,20,56
Los Angeles - Rancho Park,295,4497,1,15
Los Angeles - Regent Square,210,7554,1,36
Los Angeles - Reseda,9951,12988,207,270
Los Angeles - Reseda Ranch,564,12166,2,43
Los Angeles - Reynier Village,207,4896,0,0
Los Angeles - San Pedro*,5911,7575,74,95
Los Angeles - Shadow Hills,321,7226,2,45
Los Angeles - Sherman Oaks,4749,5443,67,77
Los Angeles - Silverlake,2693,6109,77,175
Los Angeles - South Carthay,590,5569,5,47
Los Angeles - South Park,6579,17331,65,171
Los Angeles - St Elmo Village,531,11584,19,414
Los Angeles - Studio City,1100,4902,34,152
Los Angeles - Sun Valley,8062,15361,90,171
Los Angeles - Sunland,1890,9261,43,211
Los Angeles - Sycamore Square,26,4019,2,309
